id,title,author,year_of_publication,publisher
1,Clara Callan,Richard Bruce Wright,2001,HarperFlamingo Canada
2,Keep It Simple: And Get More Out of Life,Nick Page,1999,Trafalgar Square
3,Alien at St Wilfred's,Adrian Plass,1999,Zondervan
4,The making of Minty Malone,Isabel Wolff,1999,HarperCollins
5,TERROR FIRMA,Matthew Thomas,2001,Trafalgar Square
6,At Ruby's,Frank DeLaney,2001,HarperCollins Publishers
7,Witch,Fiona Horne,2001,Thorsons Publishers
8,Whizzard (Tales of the Dark Forest S.),Steve Barlow,2003,Trafalgar Square Books
9,Parzival and the Stone from Heaven: A Grail Romance Retold for Our Time,Lindsay Clarke,2002,Thorsons Publishers
10,Unless : A Novel,Carol Shields,2003,Perennial
11,BATTLE OF THE TITANS,Carolyn Keene,1991,Scribner Paper Fiction
12,Joshua In the Holy Land,Joseph Girzone,1993,Simon Schuster Trade
13,"Over Sea, Under Stone",Susan Cooper,1989,Simon Pulse
14,Rosie'S Walk,Pat Hutchins,1971,Aladdin
15,Prince Caspian,C. S. Lewis,1970,MacMillan Publishing Company.
16,Voyage of the Dawn Treader,C. S. Lewis,1970,MacMillan Publishing Company.
17,Short Stories of Ernest Hemingway (A Scribner classic),Ernest Hemingway,1987,Simon &amp Schuster
18,A Farewell to Arms (A Scribner Classic),Ernest Hemingway,1987,Simon &amp Schuster
19,The Old Man and the Sea (A Scribner Classic),Ernest Hemingway,1987,Collier Books
20,CRY THE BELOVED COUNTRY (Scribner Classic),Alan Paton,1987,Scribner
21,Respect for Acting,Uta Hagen,1973,John Wiley &amp Sons
22,From the Earth: Chinese Vegetarian Cooking,Eileen Yin-Fei Lo,1995,MacMillan Publishing Company.
23,Frommer's 96 Frugal Traveler's Guides: Europe from $50 a Day (Serial),Alice Garrard,1995,John Wiley &amp Sons
24,The Complete Idiot's Guide to Knitting &amp Crocheting,Gail Diven,1999,Alpha Books
25,The Unofficial Guide to Having a Baby,Ann Douglas,1999,John Wiley &amp Sons
26,The Complete Idiot's Guide(R) to Understanding Islam,Yahiya Emerick,2001,Penguin Putnam
27,Denial of Death,Ernest Becker,1975,MacMillan Publishing Company.
28,HISTORY OF THE SOUTHERN CONFEDERACY,Clement Eaton,1965,Free Press
29,The Passionate Mind: Bringing Up an Intelligent and Creative Child,Michael Schulman,1991,Simon &amp Schuster
30,Principles of Instrumental Analysis,Douglas A. Skoog,1997,Brooks Cole
31,Organic Chemistry (Saunders Golden Sunburst Series),Stephen J. Weininger,1994,Saunders College Publishing
32,A Kiss on the Nose Turns Anger Aside,Charles M. Schulz,1995,"Henry Holt &amp Company, Inc."
33,"Ask for May, Settle for June (A Doonesbury book)",G. B. Trudeau,1982,Henry Holt &amp Co
34,Metamorphosis,David Suzuki,1989,Harpercollins
35,"Her Highness, My Wife",Victoria Alexander,2002,Avon
36,Love With the Proper Husband (Avon Historical Romance),Victoria Alexander,2003,Avon
37,On a Wicked Dawn (Cynster Novels),Stephanie Laurens,2002,Avon Books
38,Amazonia,James Rollins,2003,Avon Books
39,The Neal Pollack Anthology of American Literature: The Collected Writings of Neal Pollack,Neal Pollack,2002,Perennial
40,Circle of Three #12: Written in the Stars (Circle of Three),Isobel Bird,2001,Avon
41,Pagan Babies,Elmore Leonard,2002,HarperTorch
42,Call Each River Jordan,Owen Parry,2002,HarperTorch
43,See Jane Score (Avon Romance),Rachel Gibson,2003,Avon
44,Small Town,Lawrence Block,2003,HarperTorch
45,Night Watch,Terry Pratchett,2002,HarperCollins
46,The Dominant Blonde,Alisa Kwitney,2002,Avon Trade
47,My Favorite Bride,Christina Dodd,2002,Avon
48,Adventures of a Scottish Heiress,Cathy Maxwell,2003,Avon
49,The Torn Skirt,Rebecca Godfrey,2002,Perennial
50,My side: The autobiography of Ruth Gordon,Ruth Gordon,1976,Harper &amp Row
51,"Making History: The Struggle for Gay and Lesbian Equal Rights, 1945-1990 : An Oral History",Eric Marcus,1992,Harpercollins
52,Pigs in Heaven,Barbara Kingsolver,1993,Harpercollins
53,"Eat Smart, Think Smart: How to Use Nutrients and Supplements to Achieve Maximum Mental and Physical Performance",Robert Haas,1994,Harpercollins
54,The Power of Beauty,Nancy Friday,1996,Harpercollins
55,A Feather on the Breath of God: A Novel,Sigrid Nunez,1995,HarperCollins Publishers
56,Divine Secrets of the Ya-Ya Sisterhood : A Novel,Rebecca Wells,1996,HarperCollins
57,The Poisonwood Bible,Barbara Kingsolver,1999,HarperCollins
58,Young Wives,Olivia Goldsmith,2000,HarperCollins Publishers
59,The Professor and the Madman,Simon Winchester,1998,HarperCollins Publishers
60,The Trouble With a Hot Summer: A Simona Griffo Mystery (Simona Griffo Mysteries (Hardcover)),Camilla T. Crespi,1997,HarperCollins Publishers
61,Standing Firm: A Vice-Presidential Memoir,Dan Quayle,1994,Harpercollins
62,Anam Cara : A Book of Celtic Wisdom,John O'Donohue,1997,HarperCollins
63,Our Kind of People: Inside America's Black Upper Class,Lawrence Otis Graham,1999,HarperCollins Publishers
64,Ladies of the Grand Tour : British Women in Pursuit of Enlightenment and Adventure in Eighteenth-Century Europe,Brian Dolan,2001,HarperCollins
65,The Last Report on the Miracles at Little No Horse,Louise Erdrich,2001,HarperCollins Publishers
66,Bel Canto,Ann Patchett,2001,HarperCollins Publishers
67,The Saving Graces : A Novel,Patricia Gaffney,1999,HarperCollins
68,As Nature Made Him: The Boy Who Was Raised As a Girl,John Colapinto,2000,HarperCollins Publishers
69,There's a Spiritual Solution to Every Problem,Wayne W. Dyer,2001,HarperCollins
70,One Heart,Jane McCafferty,1999,HarperCollins Publishers
71,Hunting Badger,Tony Hillerman,1999,HarperCollins Publishers
72,"Rule by Secrecy: The Hidden History That Connects the Trilateral Commission, the Freemasons, and the Great Pyramids",Jim Marrs,2000,HarperCollins Publishers
73,Population: 485 : Meeting Your Neighbors One Siren at a Time (Wisconsin),Michael Perry,2002,HarperCollins
74,Thief of Time,Terry Pratchett,2001,HarperCollins Publishers
75,Prodigal Summer,Barbara Kingsolver,2000,HarperCollins
76,Shape Changer,Bill Brittain,1994,Harpercollins Juvenile Books
77,The Giving Tree,Shel Silverstein,1964,HarperCollins
78,Where the Sidewalk Ends : Poems and Drawings,Shel Silverstein,1974,HarperCollins
79,"The Bad Beginning (A Series of Unfortunate Events, Book 1)",Lemony Snicket,1999,HarperCollins
80,Judge Judy Sheindlin's Win or Lose by How You Choose,Judge Judy Sheindlin,2000,HarperCollins
81,The Lives of Christopher Chant,Diana Wynne Jones,2001,Greenwillow
82,Wicked : The Life and Times of the Wicked Witch of the West,Gregory Maguire,1995,HarperCollins
83,Quivers: A Life,Robin Quivers,1995,Harpercollins
84,Stupid White Men ...and Other Sorry Excuses for the State of the Nation!,Michael Moore,2002,Regan Books
85,"Do Less, Achieve More: Discover the Hidden Power of Giving in",Chin-Ning Chu,1998,ReganBooks
86,Tommy's Tale: A Novel,Alan Cumming,2002,Regan Books
87,The Divine Secrets of the Ya-Ya Sisterhood: A Novel,Rebecca Wells,2002,HarperTorch
88,Breaking All the Rules (Avon Light Contemporary Romances),Sue Civil-Brown,2002,Avon
89,Small Wonder: Essays,Barbara Kingsolver,2002,HarperCollins
90,Small Wonder : Essays,Barbara Kingsolver,2003,Perennial
91,The Sewing Circles of Herat : A Personal Voyage Through Afghanistan,Christina Lamb,2002,HarperCollins
92,The Sewing Circles of Herat : A Personal Voyage Through Afghanistan,Christina Lamb,2004,Perennial
93,To the Heart of the Nile : Lady Florence Baker and the Exploration of Central Africa,Pat Shipman,2004,William Morrow
94,Every Secret Thing : A Novel,Laura Lippman,2003,William Morrow
95,The Cheese Monkeys : A Novel in Two Semesters,Chip Kidd,2002,Perennial
96,Cryptonomicon,Neal Stephenson,2002,Avon Books
97,Dead Ringer,Lisa Scottoline,2004,HarperTorch
98,Gallow's Thief,Bernard Cornwell,2003,HarperTorch
99,The Lady in Question,Victoria Alexander,2003,Avon
100,Little Altars Everywhere,Rebecca Wells,2003,HarperTorch
101,Taming Your Gremlin (Revised Edition): A Surprisingly Simple Method for Getting Out of Your Own Way,Rick Carson,2003,Perennial Currents
102,Everything Is Illuminated : A Novel,Jonathan Safran Foer,2003,Perennial
103,Bare Necessity,Carole Matthews,2003,Avon Trade
104,The Buying of the President 2004 : Who's Really Bankrolling Bush and His Democratic Challengers--and What They Expect in Return (Buying of the President),Charles Lewis,2004,Perennial
105,What Memories Remain,Cait London,2004,Avon
106,Ella Enchanted (rack),Gail Carson Levine,2004,Avon
107,Peter Pan: The Original Story (Peter Pan),J. M. Barrie,2003,HarperFestival
108,"Two Princesses of Bamarre, The",Gail Carson Levine,2004,Eos
109,The Way to Freedom: Core Teachings of Tibetan Buddhism,Bstan-Dzin-Rgya-Mtsho,1994,HarperSanFrancisco
110,Living in the Presence: Disciplines for the Spiritual Heart,Tilden H. Edwards,1988,Harpercollins
111,Tree Grows In Brooklyn,Betty Smith,1988,Harpercollins Publisher
112,"Hitler, a study in tyranny, (Perennial library, P216)",Alan Bullock,1971,Harper &amp Row
113,He Understanding Masculine Psychology,Robert A Johnson,1977,Harpercollins Publisher
114,Gaudy Night,Dorothy L. Sayers,1986,HarperCollins Publishers
115,My Friend Flicka,Mary O'Hara,1988,Perennial
116,Brave New World,Aldous Huxley,1989,Harpercollins
117,Brave New World &amp Brave New World Revisited,Aldous Huxley,1942,Perennial
118,The Thurber Carnival (Harper Colophon Books),James Thurber,1975,HarperCollins
119,Lore of the Unicorn,Odell Shepard,1979,Harpercollins
120,Inanna,Diane Wolkstein,1983,Perennial
121,In Country RI,Bobbie Ann Mason,1986,Perennial
122,"Love, Medicine and Miracles",M.D. Bernie S. Siegel,1988,HarperCollins Publishers
123,A Loss for Words : The Story of Deafness in a Family,Lou Ann Walker,1987,Perennial
124,The Unbearable Lightness of Being,Milan Kundera,1988,Harpercollins
